EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,2025-07-19,"New Orleans, Louisiana, USA",,2025,7,19,5,New Orleans,Louisiana,USA,True,False
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,2025-07-12,"Nashville, Tennessee, USA",,2025,7,12,5,Nashville,Tennessee,USA,False,True
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,2025-06-28,"Las Vegas, Nevada, USA",,2025,6,28,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Hill vs. Rountree Jr.,http://ufcstats.com/event-details/400c7b43c86d27d3,2025-06-21,"Baku, Azerbaijan",,2025,6,21,5,Baku,Azerbaijan,,False,True
UFC Fight Night: Usman vs. Buckley,http://ufcstats.com/event-details/de277a4abcfeea46,2025-06-14,"Atlanta, Georgia, USA",,2025,6,14,5,Atlanta,Georgia,USA,False,True
UFC 316: Dvalishvili vs. O'Malley 2,http://ufcstats.com/event-details/18c49685296c60e6,2025-06-07,"Newark, New Jersey, USA",,2025,6,7,5,Newark,New Jersey,USA,True,False
UFC Fight Night: Blanchfield vs. Barber,http://ufcstats.com/event-details/2a898bf9fb7710b3,2025-05-31,"Las Vegas, Nevada, USA",,2025,5,31,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Burns vs. Morales,http://ufcstats.com/event-details/8ad022dd81224f61,2025-05-17,"Las Vegas, Nevada, USA",,2025,5,17,5,Las Vegas,Nevada,USA,False,True
UFC 315: Muhammad vs. Della Maddalena,http://ufcstats.com/event-details/118463dd8db16e7f,2025-05-10,"Montreal, Quebec, Canada",,2025,5,10,5,Montreal,Quebec,Canada,True,False
UFC Fight Night: Sandhagen vs. Figueiredo,http://ufcstats.com/event-details/de20ffb3fc2e7629,2025-05-03,"Des Moines, Iowa, USA",,2025,5,3,5,Des Moines,Iowa,USA,False,True
UFC Fight Night: Machado Garry vs. Prates,http://ufcstats.com/event-details/b2e3aca4cd363477,2025-04-26,"Kansas City, Missouri, USA",,2025,4,26,5,Kansas City,Missouri,USA,False,True
UFC 314: Volkanovski vs. Lopes,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,2025-04-12,"Miami, Florida, USA",,2025,4,12,5,Miami,Florida,USA,True,False
UFC Fight Night: Emmett vs. Murphy,http://ufcstats.com/event-details/86b30a86664cb6e4,2025-04-05,"Las Vegas, Nevada, USA",,2025,4,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Moreno vs. Erceg,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-03-29,"Mexico City, Distrito Federal, Mexico",,2025,3,29,5,Mexico City,Distrito Federal,Mexico,False,True
UFC Fight Night: Edwards vs. Brady,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-03-22,"London, England, United Kingdom",,2025,3,22,5,London,England,United Kingdom,False,True
UFC Fight Night: Vettori vs. Dolidze 2,http://ufcstats.com/event-details/39f62b833e4cf126,2025-03-15,"Las Vegas, Nevada, USA",,2025,3,15,5,Las Vegas,Nevada,USA,False,True
UFC 313: Pereira vs. Ankalaev,http://ufcstats.com/event-details/ca936c67687789e9,2025-03-08,"Las Vegas, Nevada, USA",,2025,3,8,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Kape vs. Almabayev,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-03-01,"Las Vegas, Nevada, USA",,2025,3,1,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cejudo vs. Song,http://ufcstats.com/event-details/c50ea21fe9ef478d,2025-02-22,"Seattle, Washington, USA",,2025,2,22,5,Seattle,Washington,USA,False,True
UFC Fight Night: Cannonier vs. Rodrigues,http://ufcstats.com/event-details/ce7871949b0ed2bf,2025-02-15,"Las Vegas, Nevada, USA",,2025,2,15,5,Las Vegas,Nevada,USA,False,True
UFC 312: Du Plessis vs. Strickland 2,http://ufcstats.com/event-details/e6015889f50075d2,2025-02-08,"Sydney, New South Wales, Australia",,2025,2,8,5,Sydney,New South Wales,Australia,True,False
UFC Fight Night: Adesanya vs. Imavov,http://ufcstats.com/event-details/80dbeb1dd5b53e64,2025-02-01,"Riyadh, Riyadh, Saudi Arabia",,2025,2,1,5,Riyadh,Riyadh,Saudi Arabia,False,True
UFC 311: Makhachev vs. Moicano,http://ufcstats.com/event-details/39f68882def7a507,2025-01-18,"Inglewood, California, USA",,2025,1,18,5,Inglewood,California,USA,True,False
UFC Fight Night: Dern vs. Ribas 2,http://ufcstats.com/event-details/81ddc98fceb30086,2025-01-11,"Las Vegas, Nevada, USA",,2025,1,11,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Covington vs. Buckley,http://ufcstats.com/event-details/72c9c2eadfc3277e,2024-12-14,"Tampa, Florida, USA",,2024,12,14,5,Tampa,Florida,USA,False,True
UFC 310: Pantoja vs. Asakura,http://ufcstats.com/event-details/ad23903ef3af7406,2024-12-07,"Las Vegas, Nevada, USA",,2024,12,7,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Yan vs. Figueiredo,http://ufcstats.com/event-details/e955046551f8c7dd,2024-11-23,"Macau, China",,2024,11,23,5,Macau,China,,False,True
UFC 309: Jones vs. Miocic,http://ufcstats.com/event-details/daff32bc96d1eabf,2024-11-16,"New York City, New York, USA",,2024,11,16,5,New York City,New York,USA,True,False
UFC Fight Night: Magny vs. Prates,http://ufcstats.com/event-details/585f9ffdb0cd0466,2024-11-09,"Las Vegas, Nevada, USA",,2024,11,9,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Moreno vs. Albazi,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2024-11-02,"Edmonton, Alberta, Canada",,2024,11,2,5,Edmonton,Alberta,Canada,False,True
UFC 308: Topuria vs. Holloway,http://ufcstats.com/event-details/221b2a3070c7ce3e,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2024,10,26,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Hernandez vs. Pereira,http://ufcstats.com/event-details/6a0047ac8c99fece,2024-10-19,"Las Vegas, Nevada, USA",,2024,10,19,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Royval vs. Taira,http://ufcstats.com/event-details/5bdcbd8dd681a257,2024-10-12,"Las Vegas, Nevada, USA",,2024,10,12,5,Las Vegas,Nevada,USA,False,True
UFC 307: Pereira vs. Rountree Jr.,http://ufcstats.com/event-details/eee8efec7b951d84,2024-10-05,"Salt Lake City, Utah, USA",,2024,10,5,5,Salt Lake City,Utah,USA,True,False
UFC Fight Night: Moicano vs. Saint Denis,http://ufcstats.com/event-details/079488710f012779,2024-09-28,"Paris, Ile-de-France, France",,2024,9,28,5,Paris,Ile-de-France,France,False,True
UFC 306: Riyadh Season Noche UFC,http://ufcstats.com/event-details/0c01568b1ac77bff,2024-09-14,"Las Vegas, Nevada, USA",,2024,9,14,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Burns vs. Brady,http://ufcstats.com/event-details/ee0b69e307c857e5,2024-09-07,"Las Vegas, Nevada, USA",,2024,9,7,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/event-details/be8ad887e4d674b0,2024-08-24,"Las Vegas, Nevada, USA",,2024,8,24,5,Las Vegas,Nevada,USA,False,True
