event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp
UFC Fight Night: Whittaker vs. de Ridder,Robert Whittaker,Reinier de Ridder,1.67,2.36,Reinier de Ridder,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Petr Yan,Marcus McGhee,1.25,3.85,Petr Yan,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Marc-Andre Barriault,Sharabutdin Magomedov,3.60,1.30,Sharabutdin Magomedov,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Assu Almabaev,Jose  Ochoa,2.00,2.05,Assu Almabaev,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Nikita Krylov,Bogdan Guskov,1.56,2.71,Bogdan Guskov,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Bryce Mitchell,Said Nurmagomedov,1.75,2.33,Bryce Mitchell,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Muslim Salikhov,Carlos Leal Miranda,5.05,1.25,Muslim Salikhov,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,DaMon Blackshear,Davey Grant,1.36,3.75,Davey Grant,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Amanda Ribas,Tabatha Ricci,1.62,2.66,Tabatha Ricci,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Ibo Aslan,Billy Elekana,1.40,3.45,Billy Elekana,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Mohammad Yahya,Steven Nguyen,4.20,1.39,Steven Nguyen,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC Fight Night: Whittaker vs. de Ridder,Martin Buday,Marcus Almeida,3.29,1.43,Martin Buday,26th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1807,2025-08-02 09:58:58.713051
UFC 318,Max Holloway,Dustin Poirier,1.91,1.98,Max Holloway,19th Jul 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051
